,Week of Data Collection (Friday),Turning In Lost Item,Looking For Lost Item,Campus Directions,Campus Services,Other,Pads,Tampons,Condoms,Items Available,Returned to Owner,Donated,For Recycling,Sent to International House,Claims
1/31/2023 11:58:51,8/26/2022,0,8,43,7,0,25,7,80,0,1,0,0,0,1
1/31/2023 11:54:30,9/2/2022,6,32,207,27,18,63,29,177,0,7,0,1,0,17
1/31/2023 11:44:23,9/9/2022,10,45,187,32,14,39,40,300,0,13,0,0,0,43
1/31/2023 11:34:17,9/16/2022,16,90,123,27,30,62,38,27,1,19,0,0,0,65
1/31/2023 11:10:35,9/23/2022,24,84,139,24,25,57,62,105,1,15,0,0,0,92
1/31/2023 9:37:25,9/30/2022,12,81,67,20,10,53,38,27,3,16,0,0,10,72
1/30/2023 15:51:59,10/7/2022,25,79,86,12,4,70,42,31,9,23,0,0,0,75
1/30/2023 15:44:21,10/14/2022,33,108,71,19,4,36,25,10,9,38,24,8,3,60
1/30/2023 15:15:10,10/21/2022,23,130,116,26,22,54,38,36,13,16,104,22,2,59
1/30/2023 15:03:26,10/28/2022,30,111,95,24,29,56,47,35,10,29,126,37,19,66
1/30/2023 15:01:18,11/4/2022,35,105,61,11,14,82,66,33,18,27,0,0,9,50
1/30/2023 15:00:24,11/11/2022,3,21,51,1,5,23,18,7,13,2,119,3,0,20
1/30/2023 14:06:07,11/18/2022,21,112,95,15,11,42,68,35,6,17,38,10,6,64
1/30/2023 13:53:29,11/25/2022,16,106,102,16,13,52,60,37,8,17,52,1,7,56
1/30/2023 13:43:03,12/2/2022,12,90,72,12,8,51,42,28,13,19,67,1,8,54
1/30/2023 13:22:43,12/9/2022,10,69,68,12,2,38,36,28,9,15,215,42,4,36
1/30/2023 13:11:28,12/16/2022,20,42,52,7,6,35,32,37,3,25,68,34,0,31
1/30/2023 13:00:53,12/23/2022,8,27,16,0,2,7,2,2,12,6,1,0,15,29
1/30/2023 12:51:20,1/6/2023,6,15,55,15,4,15,15,3,21,7,0,0,0,8
1/30/2023 12:44:46,1/13/2023,23,105,168,29,9,54,29,11,63,43,86,16,0,56
1/30/2023 12:43:45,1/20/2023,15,141,120,22,13,54,37,21,150,34,100,8,0,59
2/1/2023 13:34:39,1/27/2023,21,129,104,14,14,49,47,80,141,24,7,9,12,51
2/7/2023 16:32:43,2/3/2023,20,136,127,13,18,21,16,100,50,25,54,12,0,60
2/15/2023 11:44:55,2/10/2023,30,105,100,17,11,75,36,116,128,23,119,10,0,39
2/23/2023 11:43:50,2/17/2023,16,116,66,7,13,27,15,90,129,26,116,28,17,47
3/1/2023 12:33:30,2/24/2023,6,45,52,8,1,104,64,20,20,8,43,1,0,30
3/8/2023 11:34:52,3/3/2023,27,116,64,13,24,29,23,50,108,22,95,9,0,50
3/15/2023 11:58:49,3/10/2023,20,127,88,13,14,31,18,50,87,29,0,0,0,36
3/22/2023 12:03:03,3/17/2023,21,98,61,6,7,36,22,80,122,19,113,9,3,36
3/30/2023 10:54:03,3/24/2023,11,102,84,10,13,66,36,80,70,17,0,0,0,40
4/5/2023 12:32:43,3/31/2023,10,97,73,9,7,36,43,70,67,13,100,28,0,33
4/13/2023 12:04:56,4/7/2023,18,83,67,14,10,49,31,60,94,17,70,9,3,28
4/18/2023 14:44:53,4/14/2023,9,49,54,7,2,15,18,60,27,8,0,0,0,19
4/19/2023 12:01:21,4/14/2023,9,49,54,7,2,15,18,60,26,8,0,0,0,19
5/9/2023 13:23:33,5/5/2023,5,33,38,15,0,20,22,13,90,3,35,1,0,33
5/16/2023 12:48:43,5/12/2023,7,46,58,12,3,17,17,39,163,9,43,9,0,31
5/23/2023 12:02:14,5/19/2023,7,29,45,7,1,15,7,16,64,14,29,8,0,23
5/29/2023 11:00:21,5/26/2023,3,24,36,6,1,6,5,13,29,7,125,14,2,28
6/5/2023 11:16:37,6/2/2023,8,30,59,12,3,26,18,18,54,13,95,27,2,27
6/12/2023 12:04:56,6/9/2023,3,30,25,4,2,22,26,33,133,7,30,11,4,21
6/16/2023 13:51:53,6/16/2023,4,26,29,5,2,33,24,20,56,5,71,14,11,19
6/23/2023 13:48:39,6/23/2023,5,24,32,9,1,27,24,16,35,7,32,4,2,17
7/5/2023 11:15:30,6/30/2023,1,28,51,2,4,39,27,14 and 5 internal,40,3,36,8,1,15
7/7/2023 13:47:30,7/7/2023,2,19,23,5,1,36,12,"27, 3 internal",41,4,51,15,3,11
7/14/2023 13:51:17,7/14/2023,5,24,60,6,1,28,6,"21, 1 internal",60,4,46,2,2,16
7/21/2023 13:51:19,7/21/2023,7,16,37,13,5,32,15,36,52,5,43,2,2,12
7/28/2023 13:55:14,7/28/2023,8,27,32,6,0,22,11,15,94,9,29,14,1,22
8/4/2023 13:58:32,8/4/2023,4,13,32,5,3,28,25,33 and 3 internal,64,6,42,6,3,8
8/13/2023 21:58:34,8/11/2023,7,24,43,4,2,19,5,17 and 1 internal,69,6,78,6,3,16
8/21/2023 12:53:19,8/18/2023,4,16,44,3,1,25,18,38,82,1,26,7,1,5
8/29/2023 12:12:32,8/25/2023,5,17,90,14,7,21,12,36 and 3 internal,54,5,71,7,2,11
9/5/2023 14:40:53,9/1/2023,5,17,169,20,2,21,32,38,53,2,71,7,2,6
9/11/2023 14:37:50,9/8/2023,10,64,180,21,4,43,35,53,55,16,42,9,1,35
9/19/2023 14:00:58,9/15/2023,11,75,82,35,10,70,64,64,77,21,44,5,6,50
9/28/2023 13:56:03,9/22/2023,18,125,140,33,18,52,47,92,77,15,46,6,5,60
10/5/2023 10:30:43,9/29/2023,18,99,88,21,5,50,50,80,52,25,20,3,5,57
10/10/2023 11:26:41,10/6/2023,27,146,95,16,14,110,80,80,167,36,46,7,5,51
10/17/2023 12:22:39,10/13/2023,12,81,63,21,9,90,70,60,67,20,70,12,13,36
10/24/2023 11:43:39,10/20/2023,26,107,63,22,11,80,60,70,137,20,121,17,8,66
10/30/2023 10:09:55,10/27/2023,32,118,105,30,13,100,100,80,106,27,61,18,7,68
11/6/2023 10:42:42,11/3/2023,31,103,81,20,6,100,100,70,137,21,106,18,5,75
11/20/2023 14:12:41,11/10/2023,24,108,78,22,4,80,70,100,48,32,92,25,8,61
11/20/2023 14:14:55,11/17/2023,4,11,44,23,3,50,40,60,59,3,101,6,15,16
11/27/2023 9:58:05,11/24/2023,20,113,112,24,10,70,80,80,95,23,101,39,5,56
12/4/2023 15:33:31,12/1/2023,28,79,65,14,5,100,70,70,68,18,56,10,4,33
12/12/2023 13:39:35,12/8/2023,22,87,78,8,5,90,50,60,109,20,14,11,2,39
12/18/2023 11:41:32,12/15/2023,10,49,60,9,2,60,50,50,88,20,50,5,10,26
1/9/2024 10:48:01,1/5/2024,5,12,57,6,4,40,40,30,83,4,131,17,13,12
1/15/2024 10:02:37,1/12/2024,20,94,96,32,7,80,80,80,45,17,8,2,2,48
1/22/2024 9:39:57,1/19/2024,30,125,74,20,12,70,60,90,155,26,31,6,5,71
1/29/2024 10:35:56,1/26/2024,25,109,78,14,8,80,90,70,113,34,36,6,6,74
2/5/2024 10:34:27,2/2/2024,32,112,102,19,8,100,90,6,201,35,79,5,4,54
2/12/2024 10:19:26,2/9/2024,23,105,74,27,14,90,70,60,162,23,90,9,19,63
2/20/2024 10:45:54,2/16/2024,17,124,84,14,12,100,70,80,157,21,98,13,15,55
2/26/2024 10:19:22,2/23/2024,5,25,42,3,5,40,40,50,84,9,168,58,8,19
3/4/2024 9:55:16,3/1/2024,20,91,67,9,4,90,70,110,51,25,117,15,1,50
3/11/2024 9:21:43,3/8/2024,24,122,79,10,8,80,70,90,123,27,68,20,4,58
3/18/2024 14:46:12,3/15/2024,32,99,78,17,7,100,90,90,73,26,50,7,9,50
3/25/2024 10:43:20,3/22/2024,20,73,38,11,10,100,70,90,208,30,82,5,3,38
4/2/2024 10:50:03,3/29/2024,17,66,61,13,9,70,50,40,53,14,82,6,5,29
4/8/2024 11:11:26,4/5/2024,9,69,39,14,4,80,60,50,96,23,122,13,7,35
4/17/2024 13:25:59,4/12/2024,19,77,51,12,13,90,70,70,68,12,57,6,4,30
4/22/2024 11:01:46,4/19/2024,23,47,41,11,4,50,50,50,90,14,88,26,4,45
5/3/2024 14:16:45,5/3/2024,5,15,24,6,0,50,40,50,134,5,37,7,6,15
5/10/2024 15:40:26,5/10/2024,5,27,48,8,6,70,50,70,25,3,83,18,3,18
5/17/2024 14:30:46,5/17/2024,5,29,31,5,3,70,60,50,107,10,82,12,1,19
5/24/2024 14:23:21,5/24/2024,2,14,42,1,1,40,40,40,113,8,24,3,4,17
5/31/2024 14:11:42,5/31/2024,4,14,49,5,2,50,40,60,73,12,87,16,2,16
6/7/2024 14:33:59,6/7/2024,7,37,11,1,2,70,50,60,62,18,78,6,2,18
6/14/2024 14:25:01,6/14/2024,3,26,37,5,0,40,20,40,99,6,30,16,3,11
6/21/2024 14:21:35,6/21/2024,4,26,32,4,1,50,20,50,56,13,51,26,0,10
6/28/2024 14:39:41,6/28/2024,2,16,46,2,0,50,20,40,51,9,69,12,4,14
7/5/2024 14:12:19,7/5/2024,3,14,33,4,3,60,40,40,73,6,56,8,3,13
7/12/2024 14:42:25,7/12/2024,3,24,56,5,2,40,30,40,69,5,41,9,2,8
7/19/2024 14:19:31,7/19/2024,3,27,28,4,3,40,30,40,101,12,29,2,1,17
7/29/2024 11:56:34,7/26/2024,4,26,30,6,1,40,30,50,38,7,70,10,1,13
8/7/2024 11:37:17,8/2/2024,3,20,49,5,2,40,40,50,70,6,50,15,2,8
8/9/2024 15:04:44,8/9/2024,1,17,29,14,2,40,20,40,41,6,32,5,2,12
8/16/2024 14:13:29,8/16/2024,1,16,58,11,1,60,30,60,36,5,64,20,0,6
8/26/2024 12:45:30,8/23/2024,4,17,78,22,1,50,40,60,108,4,30,3,0,11
9/5/2024 11:29:06,8/30/2024,2,23,198,36,7,50,30,50,78,5,40,5,1,13
9/6/2024 15:45:04,9/6/2024,22,64,207,43,19,80,60,80,64,24,100,11,13,61
9/13/2024 15:44:36,9/13/2024,22,140,165,45,10,80,80,60,102,30,72,7,2,81
9/20/2024 15:45:34,9/20/2024,38,137,109,28,22,90,70,60,120,27,52,6,3,74
10/3/2024 16:14:29,9/27/2024,22,147,134,23,16,70,80,80,108,24,76,14,3,77
10/4/2024 16:48:39,10/4/2024,30,130,92,18,11,110,80,60,160,31,88,28,7,64
10/11/2024 18:47:41,10/11/2024,38,143,88,19,17,120,100,90,146,50,38,20,3,61
10/23/2024 11:41:49,10/18/2024,27,115,78,12,16,100,70,60,150,30,74,18,6,47
10/25/2024 17:36:22,10/25/2024,25,136,106,18,9,110,90,80,127,40,128,38,8,52
11/1/2024 17:07:05,11/1/2024,26,114,84,21,16,145,60,70,90,28,175,21,10,51